Bill to,TECH PROFUSE PRIVATE LIMITED
Invoice number,4444723585
Invoice date,31 Aug 2022
Due Date,30 Oct 2022
Billing ID,9907-5574-3959
Currency,INR
Invoice amount,"2,577,631.94"

Account,techprofuse.com
Domain name,Subscription,Description,Order name,Start date,End date,Quantity,PO number,Amount
aelumconsulting.com,Google Workspace Business Starter,Usage,3505295509-02,7 Aug,7 Aug,171,20220200,882.82
aelumconsulting.com,Google Workspace Business Starter,Usage,3505295509-02,8 Aug,15 Aug,172,20220200,"7,105.87"
aelumconsulting.com,Google Workspace Business Starter,Usage,3505295509-02,16 Aug,27 Aug,168,20220200,"10,398.66"
aelumconsulting.com,Google Workspace Business Starter,Usage,3505295509-02,28 Aug,31 Aug,170,20220200,"3,509.59"
aemevents.in,Google Workspace Business Starter,Usage,3403793253-02,1 Aug,31 Aug,4,,399.84
afcon.in,Google Workspace Business Starter,Usage,4053988443-06,10 Aug,31 Aug,2,20221165,141.87
ag-hub.co,Google Workspace Business Starter,Commitment,3291372771-07,1 Aug,31 Aug,10,20210898,999.60
agamdesignstudio.com,Google Workspace Business Starter,Commitment,3564507488-07,1 Aug,31 Aug,1,20220406,99.96
agpit.edu.in,Google Workspace for Education: Teaching and Learning Upgrade,Usage,4224115932-02,7 Aug,31 Aug,4,20221301,387.10
agppi.co.in,Google Workspace Business Plus,Usage,3728567013-12,1 Aug,31 Aug,1,20220768,"1,008.00"
agrasenbank.in,Google Workspace Business Starter,Usage,3514561755-02,1 Aug,31 Aug,47,20220230,"6,535.20"
agrosonic.in,Google Workspace Business Starter,Usage,3218725726-02,1 Aug,31 Aug,2,,199.92
agvecoprojects.com,Google Workspace Business Starter,Commitment,3389621518-04,1 Aug,31 Aug,1,20211195,99.96
ahaandm.com,Google Workspace Business Starter,Usage,3934451464-06,1 Aug,31 Aug,3,20221075,299.88
ahlcom.in,Google Workspace Business Starter,Usage,3440164871-02,1 Aug,31 Aug,3,20220024,299.88
aiaims.com,Google Workspace Business Starter,Commitment,4038232522-02,1 Aug,31 Aug,50,,"5,040.00"
aiaims.edu.in,Google Workspace for Education: Teaching and Learning Upgrade,Commitment,3895412103-05,1 Aug,31 Aug,7,2021575,840.00
aiimsgorakhpur.in,Google Workspace for Education: Teaching and Learning Upgrade,Usage,3489099651-07,1 Aug,31 Aug,10,,"1,200.00"
aikhyagroup.org,Google Workspace Business Starter,Commitment,3229133128-08,1 Aug,31 Aug,7,20210797,699.72
aikhyaimpex.com,Google Workspace Business Starter,Commitment,3208566097-07,1 Aug,31 Aug,13,,"1,299.48"
aikhyavidyaviharah.com,Google Workspace Business Starter,Commitment,3229126121-07,1 Aug,31 Aug,8,,799.68
aimanufacturing.in,Google Workspace Business Starter,Usage,3848217901-06,1 Aug,31 Aug,28,20220968,"3,343.20"
airguideindia.com,Google Workspace Business Starter,Commitment,3284744867-13,1 Aug,31 Aug,33,20221243,"4,183.20"
airlineconsole.com,Google Workspace Business Starter,Usage,3612061629-06,1 Aug,31 Aug,5,20220509,499.80
aisindia.in,Google Workspace Business Starter,Usage,3710573872-05,1 Aug,31 Aug,2,,199.92
akaassociates.in,Google Workspace Business Starter,Commitment,3225160605-04,1 Aug,31 Aug,3,202120732,299.88
akainfra.in,Google Workspace Business Starter,Usage,3767519652-02,1 Aug,31 Aug,3,20220841,299.88
akdd.co.in,Google Workspace Business Starter,Commitment,3505117519-07,1 Aug,31 Aug,3,20220203,299.88
akhila.in.net,Google Workspace Business Standard,Usage,4010288229-06,1 Aug,31 Aug,1,20221115,537.60
aki.org.in,Google Workspace Business Starter,Usage,3562019936-06,1 Aug,31 Aug,17,20220357,"1,699.32"
akliainstitute.org,Google Workspace Business Starter,Usage,4232001566-02,8 Aug,31 Aug,7,20221312,541.71
aksharit.in,Google Workspace Business Starter,Commitment,3564252461-07,1 Aug,31 Aug,6,20220403,599.76
alameencollege.org,Google Workspace for Education: Teaching and Learning Upgrade,Usage,2965915616-07,1 Aug,30 Aug,1,2020124,116.13
alameencollege.org,Google Workspace for Education: Teaching and Learning Upgrade,Usage,2965915616-09,31 Aug,31 Aug,1,2020124,3.87
alamhospital.in,Google Workspace Business Starter,Usage,3515469323-04,1 Aug,31 Aug,5,20220232,499.80
alarabmanpower.com,Google Workspace Business Starter,Usage,3402688821-04,1 Aug,31 Aug,5,20211239,499.80
alchemyofsorts.com,Google Workspace Business Starter,Usage,3311984280-02,1 Aug,31 Aug,3,,299.88
alekhyadrugs.com,Google Workspace Business Starter,Usage,3368550711-06,1 Aug,31 Aug,19,20211135,"1,899.24"
algaezone.com,Google Workspace Business Starter,Commitment,3369939457-05,1 Aug,31 Aug,4,,399.84
alishacollection.co.in,Google Workspace Business Starter,Commitment,3234696928-07,1 Aug,31 Aug,2,20210767,199.92
aliyaqoob.com,Google Workspace Business Starter,Usage,3511420097-06,1 Aug,31 Aug,9,,899.64
alkareeminternational.com,Google Workspace Business Starter,Commitment,3355051727-07,1 Aug,31 Aug,1,20211106,99.96
allegroindustries.in,Google Workspace Business Starter,Usage,4038050218-02,1 Aug,31 Aug,1,20221147,99.96
allflowsolutions.com,Google Workspace Business Starter,Usage,3584908736-02,1 Aug,31 Aug,1,20220462,99.96
alliancesecuritysystems.com,Google Workspace Business Starter,Usage,4022768955-02,1 Aug,31 Aug,2,20221128,199.92
alwisgroup.com,Google Workspace Business Starter,Usage,4164441645-02,1 Aug,31 Aug,12,,"1,199.52"
amaraglobal.in,Google Workspace Business Starter,Commitment,3439652831-04,1 Aug,31 Aug,2,20220100,199.92
amaravatifoundation.com,Google Workspace Business Starter,Commitment,3429827955-08,1 Aug,31 Aug,2,20220076,199.92
ambicaindustrialdiamond.com,Google Workspace Business Starter,Commitment,3548426268-07,1 Aug,31 Aug,1,20220347,99.96
ambm.in,Google Workspace Business Starter,Usage,3344861666-07,1 Aug,31 Aug,1,,99.96
amcontradeindia.com,Google Workspace Business Starter,Usage,3943359235-02,1 Aug,31 Aug,1,,99.96
ameyaayurveda.com,Google Workspace Business Standard,Usage,3261714568-05,1 Aug,31 Aug,1,20210834,537.60
amindbiz.com,Google Workspace Business Starter,Commitment,3095609155-02,1 Aug,29 Aug,1,20210443,93.51
amindbiz.com,Google Workspace Business Starter,Commitment decrease,3095609155-05,30 Aug,30 Aug,1,20210443,0.00
amirtasdailydelights.com,Google Workspace Business Starter,Commitment,3530691034-02,1 Aug,31 Aug,1,20220298,99.96
amke.in,Google Workspace Business Starter,Usage,3692069904-02,1 Aug,31 Aug,1,20220674,99.96
ampleblr.com,Google Workspace Business Starter,Usage,3374209401-02,1 Aug,31 Aug,5,,499.80
amsbusinesses.com,Google Workspace Business Starter,Usage,3943718667-03,1 Aug,31 Aug,4,,399.84
analyticens.com,Google Workspace Business Starter,Usage,3539331915-06,1 Aug,5 Aug,1,20220324,16.13
analyticens.com,Google Workspace Business Starter,Usage,3539331915-08,6 Aug,31 Aug,1,20220324,83.83
analyticvision.in,Google Workspace Business Starter,Commitment,3381599116-07,1 Aug,31 Aug,1,20211169,99.96
anandppl.in,Google Workspace Business Starter,Usage,3799555934-02,1 Aug,31 Aug,6,20220889,599.76
anchorcare.com.au,Google Workspace Business Starter,Usage,3355428531-06,1 Aug,31 Aug,4,,399.84
anci.in,Google Workspace Business Starter,Usage,3795153818-03,1 Aug,31 Aug,5,,499.80
anejaandaneja.com,Google Workspace Business Starter,Commitment,3049517622-06,1 Aug,31 Aug,3,,299.88
anjin.in,Google Workspace Business Starter,Usage,3578236624-02,1 Aug,31 Aug,1,,99.96
anmenviroengineers.com,Google Workspace Business Starter,Commitment,3342672035-04,1 Aug,31 Aug,3,,299.88
anmolholidays.com,Google Workspace Business Starter,Usage,3490013868-03,1 Aug,31 Aug,1,20220163,99.96
ansfoundations.org,Google Workspace Business Starter,Usage,3571100655-06,1 Aug,31 Aug,1,20220435,99.96
anstradingco.in,Google Workspace Business Starter,Commitment,3526334486-08,1 Aug,31 Aug,4,20220364,399.84
anticorrosionexperts.com,Google Workspace Business Starter,Usage,3942124605-02,1 Aug,31 Aug,2,,199.92
anups.co.in,Google Workspace Business Starter,Commitment,3271799496-09,1 Aug,31 Aug,4,20210912,399.84
anuradhatextile.com,Google Workspace Business Starter,Commitment,3052590797-10,1 Aug,31 Aug,10,20220335,999.60
anushri.info,Google Workspace Business Starter,Commitment,2949173986-06,1 Aug,1 Aug,3,2021998,9.67
anushri.info,Google Workspace Business Starter,Commitment decrease,2949173986-09,2 Aug,2 Aug,1,2021998,0.00
aostafgroup.com,Google Workspace Business Starter,Usage,4259233553-02,12 Aug,31 Aug,4,20221328,257.97
apaiserconsult.com,Google Workspace Business Starter,Usage,3974166223-06,1 Aug,31 Aug,1,20221104,99.96
aparadisum.com,Google Workspace Business Starter,Commitment,3278849085-04,1 Aug,31 Aug,1,,99.96
aparadisum.com,Google Workspace Business Starter,Commitment increase,3278849085-06,23 Aug,31 Aug,1,202153,29.02
apcnutrients.com,Google Workspace Business Starter,Usage,3632136296-02,1 Aug,31 Aug,18,20220563,"1,799.28"
apdermis.in,Google Workspace Business Starter,Usage,3852992617-06,1 Aug,31 Aug,1,20220976,99.96
apedb.co.in,Google Workspace Business Starter,Commitment,3683572948-06,1 Aug,31 Aug,50,20220682,"5,880.00"
apexteleco.com,Google Workspace Business Starter,Usage,3761677608-03,1 Aug,31 Aug,1,,99.96
apextelecom.in,Google Workspace Business Starter,Usage,3775691663-08,1 Aug,31 Aug,1,20220847,99.96
apnabeta.co.in,Google Workspace Business Starter,Commitment,3175615243-07,1 Aug,31 Aug,1,20210611,99.96
apnabeta.com,Google Workspace Business Starter,Commitment,3175215835-07,1 Aug,31 Aug,1,20210608,99.96
apnabeta.in,Google Workspace Business Starter,Commitment,3175717282-08,1 Aug,31 Aug,1,20210612,99.96
apogeesafety.co.in,Google Workspace Business Starter,Commitment,3345073704-04,1 Aug,31 Aug,1,,99.96
appet8.com,Google Workspace Business Starter,Commitment,3142816683-06,1 Aug,31 Aug,1,20210545,99.96
appizion.com,Google Workspace Business Starter,Commitment,3562330844-16,1 Aug,31 Aug,19,20221227,"1,899.24"
appizion.com,Google Workspace Business Starter,Commitment increase,3562330844-17,31 Aug,31 Aug,1,20221436,3.22
appoloindustries.com,Google Workspace Business Starter,Commitment,3410561589-03,1 Aug,31 Aug,6,,599.76
appscoresolutions.com,Google Workspace Business Starter,Usage,3748533040-07,1 Aug,22 Aug,4,20220804,283.75
appscoresolutions.com,Google Workspace Business Starter,Usage,3748533040-07,23 Aug,31 Aug,5,20220804,145.10
aprllc.ae,Google Workspace Business Starter,Usage,3820031246-06,1 Aug,31 Aug,1,,99.96
apynds.com,Google Workspace Business Starter,Commitment,3289737697-02,1 Aug,31 Aug,3,20210894,299.88
aqs-sa.com,Google Workspace Business Starter,Commitment,3244723950-05,1 Aug,31 Aug,5,20211152,499.80
aquamarinepl.com,Google Workspace Business Starter,Usage,4035483911-02,1 Aug,31 Aug,20,20221142,"1,999.20"
aquavitoelab.com,Google Workspace Business Starter,Usage,4046477221-02,1 Aug,31 Aug,12,20221160,"1,199.52"
aquavitoelab.com,Google Workspace Business Standard,Commitment,4048884323-02,1 Aug,31 Aug,10,,"5,376.00"
arabiyagroup.com,Google Workspace Business Starter,Commitment,3508438022-07,1 Aug,31 Aug,16,20220209,"1,599.36"
arambhh.com,Google Workspace Business Starter,Usage,4074670772-02,1 Aug,31 Aug,2,20221189,199.92
aramlearning.com,Google Workspace Business Standard,Usage,3381382030-06,1 Aug,31 Aug,1,20211164,537.60
archeuslaw.com,Google Workspace Business Standard,Usage,3682141621-02,1 Aug,22 Aug,19,20220680,"7,248.93"
archeuslaw.com,Google Workspace Business Standard,Usage,3682141621-04,23 Aug,31 Aug,19,20220680,"2,965.47"
architecturewip.com,Google Workspace Business Starter,Usage,3835560926-05,1 Aug,31 Aug,2,2021946,199.92
ardentcollaborations.com,Google Workspace Business Starter,Usage,4006934629-02,1 Aug,17 Aug,23,,"1,372.72"
ardentcollaborations.com,Google Workspace Business Starter,Usage,4006934629-02,18 Aug,31 Aug,24,,"1,206.35"
ardentindia.net,Google Workspace Business Starter,Commitment,3201053529-02,1 Aug,31 Aug,1,20210675,99.96
ardentsoftware.co.in,Google Workspace Business Standard,Usage,3123957617-09,1 Aug,4 Aug,9,,624.31
ardentsoftware.co.in,Google Workspace Business Standard,Usage,3123957617-09,5 Aug,5 Aug,17,,294.81
ardentsoftware.co.in,Google Workspace Business Standard,Usage,3123957617-09,6 Aug,19 Aug,19,,"4,612.96"
ardentsoftware.co.in,Google Workspace Business Standard,Usage,3123957617-09,20 Aug,20 Aug,7,,121.39
ardentsoftware.co.in,Google Workspace Business Standard,Usage,3123957617-09,21 Aug,21 Aug,19,,329.49
ardentsoftware.co.in,Google Workspace Business Standard,Usage,3123957617-09,22 Aug,31 Aug,7,,"1,213.94"
arihantwatercontrol.com,Google Workspace Business Starter,Commitment,3231284493-07,1 Aug,31 Aug,1,20210750,99.96
arinluxury.com,Google Workspace Business Starter,Usage,3970316631-02,1 Aug,31 Aug,2,20221097,199.92
armexports.in,Google Workspace Business Starter,Usage,3920709234-06,1 Aug,31 Aug,2,20221061,199.92
arotatvika.in,Google Workspace Business Starter,Usage,3971036645-06,1 Aug,31 Aug,2,20221098,199.92
arownpharma.in,Google Workspace Business Starter,Usage,2586910242-12,1 Aug,4 Aug,6,2021210,130.07
arownpharma.in,Google Workspace Business Starter,Usage,2586910242-12,5 Aug,5 Aug,7,2021210,0.00
arraycom.co.in,Google Workspace Business Starter,Usage,3772306713-02,1 Aug,31 Aug,16,20220843,"1,599.36"
arrmolecules.com,Google Workspace Business Starter,Usage,3688684733-06,1 Aug,31 Aug,4,20220694,399.84
arshinternational.in,Google Workspace Business Starter,Commitment,3090662629-02,1 Aug,26 Aug,5,20210401,419.19
arshinternational.in,Google Workspace Business Starter,Commitment decrease,3090662629-05,27 Aug,27 Aug,1,20210401,0.00
artisanatdesignstudio.co.in,Google Workspace Business Starter,Usage,3746987705-06,1 Aug,31 Aug,1,20220799,99.96
arunland.ae,Google Workspace Business Starter,Usage,3703100604-08,1 Aug,31 Aug,6,20220698,599.76
arutpa.com,Google Workspace Business Starter,Usage,3649730749-06,1 Aug,31 Aug,2,20220605,199.92
arveelabs.com,Google Workspace Business Starter,Commitment,3062226308-02,1 Aug,22 Aug,23,20210335,"1,776.47"
arveelabs.com,Google Workspace Business Starter,Usage,3062226308-05,23 Aug,31 Aug,23,20210335,"1,121.81"
aryanadmin.com,Google Workspace Business Starter,Usage,4120856556-06,24 Aug,31 Aug,1,20221230,25.79
aryasamajtelugu.org,Google Workspace Business Standard,Usage,3339992745-02,1 Aug,8 Aug,1,,138.74
aryasamajtelugu.org,Google Workspace Business Standard,Usage,3339992745-04,9 Aug,31 Aug,1,,398.86
asbuild3d.com,Google Workspace Business Starter,Usage,3615512980-06,1 Aug,31 Aug,2,20220523,199.92
ashadiamond.in,Google Workspace Business Starter,Usage,3364603753-02,1 Aug,31 Aug,16,20211127,"1,599.36"
ashishrentacar.com,Google Workspace Business Starter,Commitment,2962738244-06,1 Aug,7 Aug,1,20210039,22.57
asiansmallcap.com,Google Workspace Business Starter,Usage,3683357391-02,1 Aug,31 Aug,1,20220685,99.96
asios.in,Google Workspace Business Starter,Commitment,3564426596-02,1 Aug,31 Aug,1,20220396,99.96
asklawservices.in,Google Workspace Business Starter,Usage,3354740524-02,1 Aug,31 Aug,4,,399.84
askpinkypromise.com,Google Workspace Business Starter,Usage,3739018515-06,1 Aug,31 Aug,8,20220787,799.68
asksteelsllp.com,Google Workspace Business Starter,Usage,3468046481-06,1 Aug,31 Aug,4,20220119,399.84
aspirecollege.co,Google Workspace Business Standard,Usage,4244645594-02,9 Aug,31 Aug,5,20221314,"1,994.32"
asprkedu.in,Google Workspace Business Standard,Usage,3285481093-10,1 Aug,31 Aug,1,,537.60
assignmenthelpcreator.com,Google Workspace Business Starter,Commitment,3410618220-03,1 Aug,31 Aug,1,,99.96
astropie.in,Google Workspace Business Starter,Usage,3644031684-02,1 Aug,24 Aug,6,,464.33
astropie.in,Google Workspace Business Starter,Usage,3644031684-02,25 Aug,31 Aug,5,,112.86
astsgulf.com,Google Workspace Business Starter,Commitment,3377398156-07,1 Aug,31 Aug,2,20211146,199.92
atelierspaces.in,Google Workspace Business Starter,Usage,3894784630-06,1 Aug,31 Aug,1,20221019,99.96
atharva-ayurved.com,Google Workspace Business Starter,Usage,3681888372-02,1 Aug,31 Aug,1,20220676,99.96
athenatravels.in,Google Workspace Business Starter,Usage,3027627393-02,1 Aug,18 Aug,50,,"4,482.36"
aticare.in,Google Workspace Business Starter,Usage,3565517263-02,1 Aug,31 Aug,2,20220409,199.92
atkexp.com,Google Workspace Business Starter,Usage,3046390682-02,1 Aug,15 Aug,30,20210293,"1,780.26"
atlascontracting.ae,Google Workspace Business Starter,Usage,3514655477-02,1 Aug,31 Aug,1,20220228,99.96
